par_id,text,label
4341,"The plan saw that between 1920 and 1974, an estimated 150,000 children from impoverished families were sent to part of the British Empire, who said they would live a better life.",1
4136,Homeless Community Reconciliation Lunch in Durban,1
10352,"The next straight question is how to help the unfortunate couple, as neither of them has a birth certificate, a marriage certificate or even an ID card. Samurai officer Dhanapala lamented, explaining his pain to him when he met most of the poor families in the village and did not even have an ID to formally help them.",1
8279,Far more important than the impact on the economic god (did the dollar rise or fall last night?) also mean that many vulnerable New Zealanders will live better lives for at least the next three years.,1
1164,"Strengthen children-sensitive social protection systems, including cash transfer programs that directly help poor families pay for food, health care, education and other services.",1
7568,"Today, homeless women are still looking for the same thing. Sleep and safe place.",1
6027,"As a member of hope, Banere provides food for street people who meet the foundation for the satisfaction of the foundation for the specific period. However, she doesn't mind cooking to feed homeless people and those in need, because it's basically her alley.",1
9343,"Lougene has this message to others who may still be obsessed with illegal drugs: ""Don't despair, because there is hope. Say to yourself that they should have the opportunity to bring them to places like this.""",1
1231,"A painful night of journey is now on this part of Morocco and the cold winter approaching, prompting homeless Africans to seize opportunities before the situation worsens, sometimes being treated harshly by the authorities.",1
911,"Those from poor families are more likely to be ineligible to leave school and have babies before the age of 20, commit crime, continue welfare, addiction and addiction problems.",1
5431,"In all these alliances and repositioning, the Nigerian masses remain poor, unhealthy, uneducated, unemployed, homeless, hungry, poor and abandoned. But, in the first sign of trouble, those who directly access state resources and those who want to access directly will play racial, religious or gender cards to achieve the desired outcome.",1
9047,"It is to renew the effort and focus on the plight of homeless people, orphans, abandoned, abused and poor children across the continent, a passion shared with the Foundation.",1
951,"Cornell, together with his wife Vicky, founded the Chris & Vicky Cornell Foundation, a charity that works with vulnerable children. The charity is currently committed to protecting these children from homelessness, poverty , destruction of abuse and neglect. <h> 7. Cuban concert",1
606,"Born Christian, my humility and respect for the elderly and young people in our society are very firm, appropriate and complete. Again, my defense and justice against helplessness and vulnerability are very same.",1
6950,From Sleeping To Becoming a Posted Author: This Man’s Story Will Make You Think Double and Neglect Homeless,1
2385,"“Bruce did a great job of training young people, especially from the poorest families who didn’t even have the chance to buy cricket bats.”",1
4491,"“Volleyball is our reputation in school sports. However, as a poor school, we cannot provide all the facilities the player needs. In addition, these boys come from poor families and sadly, parents are not in a state other than modesty. Beyond the blessings, their support was very brave enough to win two or three championships in four to five games, which was a great achievement from our perspective.",1
2872,"Ms. Archibald “has space for everyone and is convinced that everyone should be valued and respected,” said the family, noting that she worked in a homeless shelter before going abroad. ""She will not understand the cruelty that caused her death.""",1
9054,"Even if many of these students are selected as subordinate services, the service can promote their poor families. <h>Impact",1
5629,"A child is packed with 10 other homeless children in the town of Nuwara Eliya, who work hard to protect themselves from the freezing temperatures that drop below 8 degrees Celsius , this was witnessed Thursday night.",1
853,"Iain Duncan-Smith expressed his feelings about the claimant’s welfare: providing prepaid cards for poor families to make sure they spend their money on food, rather than “self-destructive habits” ”.",1
2485,"In addition, Chan revealed that “care and sharing” will be the main theme of the upcoming budget plan, that is, assisting social groups need to achieve the goal of supporting vulnerable groups and helping children to make society more harmonious.",1
3920,"5) Most Buddhist institutions and temples have no plans to assist refugees, nor provide shelter or rehabilitation services for homeless children. In contrast, mature Christian churches and new evangelical groups actively help affected individuals, such as victims of political violence, reach agreements on their grief. In addition, they can help people deal with more mundane problems (22).",1
2803,"AIMMM expressed total sympathy for the female victims of unfortunate violence and rape crimes, especially the young lady who burned wild beasts on a bus moving in Delhi on the evening of December 16, annoyed most of the Indians. All crimes against women and the weaker parts, especially minorities, Dalits and Adiva are highly condemned and show the entire country in a very bad way. It is time for people, police, judiciary and government agencies to stand up and perform their duties to protect the weak and vulnerable areas of society. AIMMM urges the government to deter such cruel crimes. It should also speed up reforms to overdue police officers to lift police forces out of the British Raj rules and to enable and be responsible for protecting all citizens, human rights and honors of ordinary people.",1
668,"He is not only an employer for employees, they include young people at risk and single parents. Food and rent are paid, and if someone needs it, he raises it for necessities such as children's allowances or shipping costs. Each month, a trained prison counselor also holds mentoring classes for his staff.",1
7853,"Islamic philosophy has studied the study of inherent psychological qualities and tendencies in humans in detail, and specifically mentioned moral virtues. Some humans are totally inclined to pursue virtue and are devoured with knowledge of the divine world (called M'Arifat or Gnosis). Others tend to be taken away by things and pleasures in the world. There is a gnosis among the people who tend to be gnosis, and talented in secular affairs. Imam Razi described it in the 12th century as ""a man with the right hand or balanced people"" and the right control of these people over the affairs of their fellow men. Tasks are never easy; kindness alone does not guarantee success. It is not enough to have all virtues alone. There must be inspiration from a higher source. The elements of Marifat provide the necessary direction by focusing on the divine light. There is no leader of any community that has succeeded in managing affairs, and of course no leader of his people from the shackles, or free them from the threat of drowning despair of despair, which is hostile to them, and this is just to do so Human intelligence, brain power or personality.",1
10467,"“She has a huge platform where information can reach places where she really needs to know what’s going on in her hometown. She not only uses her platform, her voice, but also uses resources – tangible resources – tangible resources – to help Houston and around Most people.",1
6052,2017 Budget: Team says people with disabilities need to do more,1
7110,"He added: “For example, we also provide help to the people of Yang Peng, the opposition, because we have a responsibility to help those in need.”",1
